"chr","loc1","loc2","lg_balance","IQRs"
"chr14",19600000,25300000,-2.377,2.006
"chr14",19600000,25400000,-2.315,2.237
"chr14",19600000,25500000,-2.262,2.404
"chr14",19600000,25600000,-2.252,2.431
"chr14",19600000,25700000,-2.275,2.359
"chr14",19600000,25800000,-2.323,2.284
"chr14",19600000,25900000,-2.389,2.11
"chr14",19600000,26900000,-2.498,2.164
"chr14",19600000,2.7e+07,-2.454,2.289
"chr14",19600000,27100000,-2.414,2.373
"chr14",19600000,27200000,-2.403,2.422
"chr14",19600000,27300000,-2.359,2.573
"chr14",19600000,27400000,-2.359,2.555
"chr14",19600000,27500000,-2.353,2.596
"chr14",19600000,27600000,-2.363,2.565
"chr14",19600000,27700000,-2.359,2.59
"chr14",19600000,27800000,-2.358,2.618
"chr14",19600000,27900000,-2.356,2.618
"chr14",19600000,2.8e+07,-2.342,2.644
"chr14",19600000,28100000,-2.345,2.562
"chr14",19600000,28200000,-2.36,2.464
"chr14",19600000,28300000,-2.383,2.338
"chr14",19600000,28400000,-2.45,2.119
"chr14",19600000,39500000,-2.861,2.001
"chr14",19600000,39600000,-2.803,2.219
"chr14",19600000,39700000,-2.729,2.504
"chr14",19600000,39800000,-2.684,2.686
"chr14",19600000,39900000,-2.693,2.659
"chr14",19600000,4e+07,-2.7,2.673
"chr14",19600000,40100000,-2.722,2.648
"chr14",19600000,40200000,-2.731,2.588
"chr14",19600000,40300000,-2.735,2.506
"chr14",19600000,40400000,-2.744,2.388
"chr14",19600000,40500000,-2.75,2.34
"chr14",19600000,40600000,-2.727,2.438
"chr14",19600000,40700000,-2.74,2.429
"chr14",19600000,40800000,-2.735,2.448
"chr14",19600000,40900000,-2.746,2.434
"chr14",19600000,4.1e+07,-2.753,2.464
"chr14",19600000,41100000,-2.768,2.371
"chr14",19600000,41200000,-2.819,2.208
"chr14",19600000,43600000,-2.96,2.084
"chr14",19600000,43700000,-2.921,2.257
"chr14",19600000,43800000,-2.901,2.333
"chr14",19600000,43900000,-2.875,2.477
"chr14",19600000,4.4e+07,-2.887,2.419
"chr14",19600000,44100000,-2.9,2.317
"chr14",19600000,44200000,-2.873,2.331
"chr14",19600000,44300000,-2.891,2.155
"chr14",19600000,44400000,-2.915,2.033
"chr14",19600000,45400000,-2.93,2.43
"chr14",19600000,45500000,-2.836,3.011
"chr14",19600000,45600000,-2.79,3.259
"chr14",19600000,45700000,-2.812,3.192
"chr14",19600000,45800000,-2.812,3.161
"chr14",19600000,45900000,-2.815,3.103
"chr14",19600000,4.6e+07,-2.819,3.04
"chr14",19600000,46100000,-2.815,3.02
"chr14",19600000,46200000,-2.819,2.906
"chr14",19600000,46300000,-2.856,2.707
"chr14",19600000,46400000,-2.849,2.732
"chr14",19600000,46500000,-2.858,2.607
"chr14",19600000,46600000,-2.878,2.433
"chr14",19600000,46700000,-2.888,2.347
"chr14",19600000,46800000,-2.898,2.322
"chr14",19600000,46900000,-2.909,2.281
"chr14",19600000,4.7e+07,-2.871,2.462
"chr14",19600000,47100000,-2.853,2.527
"chr14",19600000,47200000,-2.868,2.432
"chr14",19600000,47300000,-2.878,2.347
"chr14",19600000,47400000,-2.891,2.355
"chr14",19600000,47500000,-2.904,2.304
"chr14",19600000,47600000,-2.913,2.273
"chr14",19600000,47700000,-2.932,2.176
"chr14",19600000,47800000,-2.945,2.141
"chr14",19600000,47900000,-2.934,2.208
"chr14",19600000,4.8e+07,-2.918,2.319
"chr14",19600000,48100000,-2.93,2.398
"chr14",19600000,48200000,-2.964,2.325
"chr14",19600000,48300000,-2.967,2.375
"chr14",19600000,48400000,-2.988,2.338
"chr14",19600000,48500000,-3.004,2.306
"chr14",19600000,48600000,-3.035,2.168
"chr14",19600000,48900000,-3.071,2.012
"chr14",19600000,4.9e+07,-3.069,2.016
"chr14",19600000,49100000,-3.079,2.025
"chr14",19600000,57600000,-3.232,2.014
"chr14",19600000,65900000,-3.341,2.276
"chr14",19600000,6.6e+07,-3.289,2.601
"chr14",19600000,66100000,-3.284,2.552
"chr14",19600000,66200000,-3.315,2.272
"chr14",19600000,66300000,-3.289,2.362
"chr14",19600000,78100000,-3.431,2.009
"chr14",19600000,78200000,-3.361,2.668
"chr14",19600000,78300000,-3.344,2.847
"chr14",19600000,78400000,-3.374,2.576
"chr14",19600000,78500000,-3.403,2.453
"chr14",19600000,78600000,-3.429,2.27
"chr14",19600000,81800000,-3.354,2.786
"chr14",19600000,81900000,-3.385,2.844
"chr14",19600000,8.2e+07,-3.348,3.467
"chr14",19600000,82100000,-3.359,3.401
"chr14",19600000,82200000,-3.363,3.514
"chr14",19600000,82300000,-3.381,3.258
"chr14",19600000,82400000,-3.43,2.675
"chr14",19600000,82600000,-3.484,2.061
"chr14",19600000,87300000,-3.465,2.275
"chr14",19600000,87500000,-3.488,2.151
"chr14",19600000,87700000,-3.507,2.111
"chr14",19700000,25300000,-2.366,2.023
"chr14",19700000,25400000,-2.31,2.2
"chr14",19700000,25500000,-2.266,2.381
"chr14",19700000,25600000,-2.271,2.375
