"Z.nm.","X.nm.","Y.nm.","Genomic.coordinate","Chromosome.copy.number"
2563,28158,6018,"chr2:1-50001",1
2781,27867,6245,"chr2:250001-300001",1
2141,27882,6015,"chr2:500001-550001",1
3071,28238,5163,"chr2:750001-800001",1
2896,28429,5077,"chr2:1000001-1050001",1
2638,28310,5270,"chr2:1250001-1300001",1
2989,28085,5389,"chr2:1500001-1550001",1
2971,28022,5412,"chr2:1750001-1800001",1
2933,27971,5101,"chr2:2000001-2050001",1
3185,28239,5095,"chr2:2250001-2300001",1
2792,28590,5160,"chr2:2500001-2550001",1
2822,28319,5174,"chr2:2750001-2800001",1
2830,28361,5240,"chr2:3000001-3050001",1
2787,28333,5642,"chr2:3250001-3300001",1
3066,28448,5464,"chr2:3500001-3550001",1
2982,28641,5569,"chr2:3750001-3800001",1
3226,29284,6650,"chr2:4000001-4050001",1
2436,28794,5380,"chr2:4250001-4300001",1
2385,28477,5646,"chr2:4500001-4550001",1
2682,28464,5848,"chr2:4750001-4800001",1
2576,28296,5415,"chr2:5000001-5050001",1
2265,28959,5768,"chr2:5250001-5300001",1
2836,27977,6105,"chr2:5500001-5550001",1
2569,28066,6030,"chr2:5750001-5800001",1
2797,28153,6147,"chr2:6000001-6050001",1
2820,27809,6230,"chr2:6250001-6300001",1
2870,28699,5524,"chr2:6500001-6550001",1
2590,27810,6422,"chr2:6750001-6800001",1
2604,28528,5696,"chr2:7000001-7050001",1
2371,28250,5509,"chr2:7250001-7300001",1
2352,28461,5682,"chr2:7500001-7550001",1
2496,28371,5796,"chr2:7750001-7800001",1
2451,28224,5576,"chr2:8000001-8050001",1
2218,28329,5805,"chr2:8250001-8300001",1
2606,28113,5757,"chr2:8500001-8550001",1
2598,28371,5798,"chr2:8750001-8800001",1
2836,28334,5827,"chr2:9000001-9050001",1
2576,28584,5980,"chr2:9250001-9300001",1
2891,28146,5789,"chr2:9500001-9550001",1
2991,28037,5838,"chr2:9750001-9800001",1
3225,28151,5625,"chr2:10000001-10050001",1
2848,27929,5768,"chr2:10250001-10300001",1
3103,27706,6041,"chr2:10500001-10550001",1
3000,27654,6016,"chr2:10750001-10800001",1
3153,27136,6347,"chr2:11000001-11050001",1
2988,27581,6240,"chr2:11250001-11300001",1
2956,27124,6134,"chr2:11500001-11550001",1
2819,27255,6155,"chr2:11750001-11800001",1
2616,27384,6136,"chr2:12000001-12050001",1
2811,27231,6167,"chr2:12250001-12300001",1
2757,26995,6348,"chr2:12500001-12550001",1
